0,3,RY,0
0,5,RX,0
0,6,RX,-90
0,7,RY,-90
0,9,RX,0
0,10,RX,-90
0,11,RY,90
0,12,RX,0
0,13,RX,45
0,15,RX,0
0,16,RX,45
0,18,RY,0
250,3,RY,10
250,5,RX,60
250,6,RX,-90
250,7,RY,-90
250,9,RX,-60
250,10,RX,-90
250,11,RY,90
250,12,RX,-60
250,13,RX,45
250,15,RX,60
250,16,RX,45
250,18,RY,-5
500,0,TY,0
500,3,RY,0
500,5,RX,0
500,6,RX,-90
500,7,RY,-90
500,9,RX,0
500,10,RX,-90
500,11,RY,90
500,12,RX,0
500,13,RX,45
500,15,RX,0
500,16,RX,45
500,18,RY,0
750,3,RY,-10
750,5,RX,-60
750,6,RX,-90
750,7,RY,-90
750,9,RX,60
750,10,RX,-90
750,11,RY,90
750,12,RX,60
750,13,RX,45
750,15,RX,-60
750,16,RX,45
750,18,RY,5
1000,0,TY,0
1000,3,RY,0
1000,5,RX,0
1000,6,RX,-90
1000,7,RY,-90
1000,9,RX,0
1000,10,RX,-90
1000,11,RY,90
1000,12,RX,0
1000,13,RX,45
1000,15,RX,0
1000,16,RX,45
1000,18,RY,0
